extension,UTI,preferred_extension
mxf,org.smpte.mxf,mxf
m15,public.mpeg,mpg
m2p,org.videolan.mpeg-stream,m2p
m2t,org.videolan.mpeg-stream,m2p
m2v,public.mpeg-2-video,m2v
m3u,public.m3u-playlist,m3u
m4a,com.apple.m4a-audio,m4a
m4b,com.apple.protected-mpeg-4-audio-b,m4b
m4p,com.apple.protected-mpeg-4-audio,m4p
m4r,com.apple.mpeg-4-ringtone,m4r
m4v,com.apple.m4v-video,m4v
m75,public.mpeg,mpg
nef,com.nikon.raw-image,nef
nii,gov.nih.nifti-1,nii
nrw,com.nikon.nrw-raw-image,nrw
nsv,org.videolan.nsv,nsv
nth,com.macitbetter.zip-archive,pk3
nuv,com.mythtv.nuv,nuv
nvf,com.apple.itunes.nvf,nvf
obj,public.geometry-definition-format,obj
odb,org.oasis-open.opendocument.database,odb
odc,org.oasis-open.opendocument.chart,odc
odf,org.oasis-open.opendocument.formula,odf
odg,org.oasis-open.opendocument.graphics,odg
odi,org.oasis-open.opendocument.image,odi
odm,org.oasis-open.opendocument.text-master,odm
odp,org.oasis-open.opendocument.presentation,odp
ods,org.oasis-open.opendocument.spreadsheet,ods
odt,org.oasis-open.opendocument.text,odt
ofd,public.ofd,ofd
oga,org.xiph.ogg-audio,ogg
ogg,org.xiph.ogg-audio,ogg
ogm,org.xiph.ogv,ogm
ogv,org.xiph.ogv,ogm
oma,org.videolan.oma,oma
omf,com.avid.open-media-framework,omf
oo3,com.omnigroup.omnioutliner.oo3,oo3
orf,com.olympus.raw-image,orf
org,org.orgmode.org,org
otc,public.opentype-collection-font,otc
otf,public.opentype-font,otf
otg,org.oasis-open.opendocument.graphics-template,otg
oth,org.oasis-open.opendocument.text-web,oth
oti,org.oasis-open.opendocument.image-template,oti
otp,org.oasis-open.opendocument.presentation-template,otp
ots,org.oasis-open.opendocument.spreadsheet-template,ots
ott,org.oasis-open.opendocument.text-template,ott
pas,public.pascal-source,pas
pax,public.cpio-archive,cpio
pbm,public.pbm,pbm
pch,public.precompiled-c-header,pch
pct,com.apple.pict,pict
pdf,com.adobe.pdf,pdf
pef,com.pentax.raw-image,pef
pem,public.x509-certificate,cer
pfa,com.adobe.postscript-pfa-font,pfa
pfb,com.adobe.postscript-pfb-font,pfb
pfm,public.pbm,pbm
pfx,com.rsa.pkcs-12,p12
pgm,public.pbm,pbm
pgn,com.apple.chess.pgn,pgn
php,public.php-script,php
ph3,public.php-script,php
ph4,public.php-script,php
pic,com.apple.pict,pict
pkg,com.apple.installer-package-archive,pkg
pk3,com.macitbetter.zip-archive,pk3
pk4,com.macitbetter.zip-archive,pk3
pls,public.pls-playlist,pls
ply,public.polygon-file-format,ply
png,public.png,png
pot,com.microsoft.powerpoint.pot,pot
ppa,com.microsoft.powerpoint.ppa,ppa
ppm,public.pbm,pbm
pps,com.microsoft.powerpoint.pps,pps
ppt,com.microsoft.powerpoint.ppt,ppt
prn,com.microsoft.excel.space-separated-values-text,prn
psb,com.adobe.photoshop-large-image,psb
psd,com.adobe.photoshop-image,psd
pst,com.apple.logic.pluginsetting,pst
pvr,public.pvr,pvr
pvs,com.parallels.vm.vmconfig,pvs
pwl,com.leica.pwl-raw-image,pwl
p12,com.rsa.pkcs-12,p12
qti,com.apple.quicktime-image,qtif
qtz,com.apple.quartz-composer-composition,qtz
raf,com.fuji.raw-image,raf
ram,com.real.realaudio,ram
rar,com.rarlab.rar-archive,rar
raw,com.panasonic.raw-image,raw
rbw,public.ruby-script,rb
rdp,com.p5sys.jump.file.rdp,rdp
rec,org.videolan.rec,rec
rmi,org.videolan.rmi,rmi
rmp,com.apple.music.rmp-playlist,rmp
rpm,com.redhat.rpm-archive,rpm
rss,public.rss,rss
rtf,public.rtf,rtf
rwl,com.leica.rwl-raw-image,rwl
rw2,com.panasonic.rw2-raw-image,rw2
sav,com.parallels.vm.vmsav,sav
sbk,com.apple.logic.exs,exs
scc,com.scenarist.closed-caption,scc
scn,com.apple.scenekit.scene,scn
sda,org.openoffice.graphics,sxd
sdc,org.openoffice.spreadsheet,sxc
sdd,org.openoffice.presentation,sxi
